Paper Title,Format,Year,Author 1,Role 1,Author Affiliation 1,Author 2,Role 2,Author Affiliation 2,Author 3,Role 3,Author Affiliation 3,Author 4,Role 4,Author Affiliation 4,Author 5,Role5,Author Affiliation 5,Country of Origin,Conference or Journal,Location of Conference,Method 1,Method 2,Method 3,Source,abstract,Class1,Class2,Class3,,,,,,,,,,,,,,,,,,,,,,
One Too Many: An Exploration Of the Roots of Literacy Of Older African Americans In South Carolina Before Brown Versus The Board Of Education,D/T,2013,"Montgomery, Barbara Johnson",Ph.D.,University of South Carolina,,,,,,,,,,,,,United States,,,interviews,,,http://search.proquest.com/docview/1438131334/abstract/DB8412A786C2416APQ/85?accountid=14474,"Drawing from 1992 data, The National Adult Literacy Survey recently indicated that a large portion of the US population lacks the literacy skills typically required to complete complex tasks and take advantage of a wide range of employment opportunities. This report also indicated that the reading proficiency of African Americans was substantially lower than that of the White population, particularly within the elder population. A similar picture emerges in the more recent report, Literacy in Everyday Life: Results from the 2003 National Assessment of Adult Literacy. As a group, African American adults ages 65 and older had the lowest average prose, document, and quantitative literacy (Kutner, et al., 2003).",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Reviving student interest in classic literature: A field-experimental study of new edition and shelf display as promoting strategies,D/T,2013,"Huff, Margaret E.",Graduate student,San Jose State University,,,,,,,,,,,,,United States,,,field experiment,,,http://search.proquest.com/docview/1418778227/abstract/DB8412A786C2416APQ/100?accountid=14474,"Librarians often keep classic books in school libraries because the books have educational merits, yet they are rarely checked out for recreational reading. Current research on low circulation of classic literature in school libraries is limited to anecdotal evidence from school and young adult librarians suggesting that lack of promotion and especially the inferior condition of old editions contribute to low circulation. This research fills the gap by examining the effect of new editions and display on circulation in a field experimental study at a middle school library in 2011.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Role Expectations for School Library Media Specialists: A Collective Case Study of Two Medium-Sized Wisconsin School Districts,D/T,2013,"Lea, Mark Keith",Ph.D.,The University of Wisconsin - Madison,,,,,,,,,,,,,United States,,,interview,,,http://search.proquest.com/docview/1444319403/abstract/904E0C363BCA4C58PQ/18?accountid=14474,"During this period of radical change in the field of information technology there is evidence of confusion about the role of school library media specialists in the implementation, and the administration of emerging information technologies in Wisconsin public schools.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
School library acquisitions policy: How it impacts the delivery of library services to middle school English language learners,D/T,2013,"Galindo, Aurea L.",Ph.D.,The University of Texas at El Paso,,,,,,,,,,,,,United States,,,qualitative design,interviews,,http://search.proquest.com/docview/1418273607/abstract/DB8412A786C2416APQ/62?accountid=14474,"The Del Sol Independent School District (DSISD) serves a student population totaling 64, 214 that includes a Hispanic population of eighty-two percent (DSISD, 2011). Of this total student population, 25.2 percent consists of English Language Learners (ELLs)--predominantly Spanish-speaking students (DSISD, 2011). Current DSISD library collection figures reveal that each campus library has an inordinate low number of Spanish materials. The district librarians are guided by an acquisitions policy that seemingly offers scant guidelines for acquiring books that address the information and literary needs of diverse student populations.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"School Library Media Specialists' Perceptions of Collaboration, Leadership and Technology",D/T,2013,"Powell, Jozan M.",Ph.D.,University of South Florida,,,,,,,,,,,,,United States,,,Observations,interviews,,http://search.proquest.com/docview/1432190443/abstract/904E0C363BCA4C58PQ/32?accountid=14474,"School impact media studies indicate that a well-staffed and funded school librarymedia program with a certified school library media specialist (SLMS) positively correlates with increased student achievement. SLMS must have a shared understanding of their roles and responsibilities to positively impact student success. In an effort to determine prior knowledge and differentiated learning objectives, the method of certification is critical for planning professional development. This dissertation presents a multi-method investigation of differences between Alternatively Certified (AC) and Traditionally Certified (TC) SLMS as it relates to their perceptions of collaboration, leadership and technology described in Information Power: Building Partnerships for Learning (1998). The overall findings were used to generate recommendations for SLMS professional development.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Student Literature Access in an Online School: A Program Evaluation,D/T,2013,"Hibbard, Laura E.",Ph.D.,Ohio University,,,,,,,,,,,,,United States,,,focus groups,interviews,surveys,http://search.proquest.com/docview/1649153498/abstract/DB8412A786C2416APQ/102?accountid=14474,"School libraries have historically served an important role in students' access to quality literature. Students who attend schools virtually, or through online schools, are typically not afforded the luxury of borrowing books from classroom libraries or through school libraries. Many students who attend online schools are economically-disadvantaged and access their education through school-provided computers and internet access. Impoverished students often have a lack of literature in their homes and rely on school libraries to fulfill the need.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
The Leadership Potential of School Librarians,D/T,2013,"Smith, Angela Powers",Ph.D.,The George Washington University,,,,,,,,,,,,,United States,,,,,,http://search.proquest.com/docview/1346230376/abstract/DB8412A786C2416APQ/84?accountid=14474,"Since their origin in 1925, standards for elementary school libraryprograms have outlined role expectations for the school librarian. As the passage of time introduced new technologies into the world of education, these standards were reviewed and revised. After each revision, the standards, which were later referred to as guidelines, reflected an updated view on the school librarian's position with additional responsibilities listed in the form of roles. Researchers have explored perceptions of educator groups regarding these roles, to determine if they were accepted by the members of the school community (Church, 2008; Dorrell & Lawson, 1995; Gustafson, 1982; Kaplan, 2006; McCracken, 2001; Mohajerin & Smith, 1981; Person, 1993; Roach, 1989; Schon, Helmstadter, & Robinson, 1991; Scott, 1986; Shannon, 1996; Shelton, 2002). Repeatedly, findings indicated disagreement among the educator groups and an overall lack of support of these roles from teachers, administrators, and even school librarians themselves, in some cases. If a lack of support for the fulfillment of these roles exists, the school libraryprogram cannot develop to its full potential. Consequently, the school librarian cannot fully contribute to student achievement, and a valuable resource is wasted. This study explored perceptions held by educators at the elementary level on the roles of the school librarian, in light of the latest revision to the guidelines (American Association of School Librarians, 2009) which added the role of leader to the list of expectations for school librarians, to determine if a lack of support for the fulfillment of these roles persists.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Towards a systematic approach for studying scholarly communication through scholarly networks,D/T,2013,"Yan, Erjia",Ph.D.,Indiana University,,,,,,,,,,,,,United States,,,quantitative study,,,http://search.proquest.com/docview/1426850026/abstract/72EEB4A8391041E6PQ/5?accountid=14474,"This dissertation proposes a framework capable of capturing the dynamic and interactive nature of scholarly communication. This framework is applied to a scholarly data set of library and information science literature with the goal of addressing four essential topics in scholarly communication, regarding the conduct of scientific impact evaluation, the exploration of scientific collaboration, the identification of research specialties and topics, and the study of scientific knowledge flow patterns. Several types of scholarly networks are employed as the research instrument to address these four areas, including coauthorship networks, citation networks, co-citation networks, bibliographic coupling networks, topic modeling/networks, and heterogeneous networks. Conceptually, a well-defined framework for quantitative study of scholarly communication is developed; methodologically, the outcome is a set of systematic approaches to evaluate impact (i.e., topic-based PageRank), explore collaboration (i.e., a mix method incorporating community detect, linear regression, and link prediction), identify research topics and specialties (i.e., topic dynamic attributes), and study knowledge flow (i.e., scientific trading and knowledge paths); and empirically, a systematic investigation of scholarly communication (in the above mentioned aspects) in the field of library and information science is accomplished.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
"A case study of legitimate literacies: Teens' ""small world"" and the school library",D/T,2012,"Comstock, Sharon L.",Ph.D.,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,United States,,,"inquiry-based (Dewey, 1938) approaches",ELIS-based approach,,http://search.proquest.com/docview/1448286066/abstract/8077FCA36E5945D4PQ/11?accountid=14474,"This dissertation is a dual-site ethnographic case study of the lived information literacy experiences of students in their junior year of high school relative to their school library and librarians. What began as an investigation of an apparent gap in understanding between the views of teens and school librarians regarding ""information literacy"" ended up being a discovery of young adult information cultures--or ""small worlds,"" as described by Elfreda Chatman (1999).",school libraries,,,,,,,,,,,,,,,,,,,,,,,,
"A case study of legitimate literacies: Teens' ""small world"" and the school library",D/T,2012,"Comstock, Sharon L.",Ph.D.,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,United States,,,ELIS-based approach,,,http://search.proquest.com/docview/1448286066/abstract/DB8412A786C2416APQ/41?accountid=14474,"This dissertation is a dual-site ethnographic case study of the lived information literacy experiences of students in their junior year of high school relative to their school library and librarians. What began as an investigation of an apparent gap in understanding between the views of teens and school librarians regarding ""information literacy"" ended up being a discovery of young adult information cultures--or ""small worlds,"" as described by Elfreda Chatman (1999).",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Construction and reflection: Using Web 2.0 foster engagement with technology for information literacy instruction,D/T,2012,"Magnuson, Marta L.",Ph.D.,The University of Wisconsin - Milwaukee,,,,,,,,,,,,,United States,,,Observations,Surveys,,http://search.proquest.com/docview/1033502284/abstract/DB8412A786C2416APQ/104?accountid=14474,"This instrumental case study is concerned with how library students in an online graduate course about information literacy instruction used Web 2.0 technologies to learn about course concepts related to information literacy and educational technology. Glogster, PBworks, Diigo, and Prezi were used in course assignments to foster student learning related to core information literacy concepts and to reflect upon Web 2.0 and its role in instruction. Two research questions grounded this study: 1. How do attributes of Web 2.0 tools enhance and hinder the construction of knowledge related to information literacy instruction and educational technology? 2. How does the use of Web 2.0 tools in a course on information literacy instruction foster aspects of the constructivist learning theory?",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Enriching critical thinking and language learning with educational digital libraries,D/T,2012,"Lu, Hsin-lin",Ph.D.,University of Kansas,,,,,,,,,,,,,United States,,,quasi-experimental pretest/posttest design,,,http://search.proquest.com/docview/1237997454/abstract/72EEB4A8391041E6PQ/9?accountid=14474,"As the amount of information available in online digital libraries increases exponentially, questions arise concerning the most productive way to use that information to advance learning. Applying the earlier information seeking theories advocated by Kelly (1963), Taylor (1968), and Belkin (1980) to the digital libraries experience, Carol Kuhlthau created the inquiry-based information search process (ISP) model. This ISP model describes thoughts, actions and feelings in six stages of inquiry: initiation, selection, exploration, formulation, collection, and presentation. This study investigated the value of an organized educational digital library in supporting and improving English Foreign Language (EFL) student's critical thinking skills. The study also considered if critical thinking skills and English language skills can be improved simultaneously in the appropriate learning environment.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
"Exploring the Relationship between Patron Type, Carnegie Classification, and Satisfaction with Library Services: An Analysis of LibQUAL+RTM Results",D/T,2012,"Guder, Christopher S.",Ph.D.,Ohio University,,,,,,,,,,,,,United States,,,A three way between-within subjects,,,http://search.proquest.com/docview/1316578447/abstract/72EEB4A8391041E6PQ/10?accountid=14474,"The purpose of this study was to explore how faculty and students responded to the Information Control section of the LibQUAL+Â® survey at two libraries with different Carnegie Classifications. As one of the institutions being studied was considering a shift from a research institution to one more focused on teaching and learning, this study used two schools with different Carnegie Classifications, one with a RU_H and the other with a Master's M classification, to determine if faculty and students had different minimum, perceived, and desired scores related to Information Control.",education technology,,,,,,,,,,,,,,,,,,,,,,,,
"Factors Affecting the Adoption of Electronic Books by Undergraduate Students in a Small, Midwestern, Liberal Arts University",D/T,2012,"Walton, Edward W.",Graduate student,Union University,,,,,,,,,,,,,United States,,,quantitative research ,chi-square analyses,,http://search.proquest.com/docview/1288021742/abstract/8077FCA36E5945D4PQ/13?accountid=14474,"Many academic libraries were early adopters of e-books and continue to acquire e-books to support student learning. The e-book is an innovation that purports to replace the printed book; however, students continue to prefer to use the printed book. While students prefer the printed book, academic libraries that provide access to e-books report their e-book collection is being used as much or more than the printed book collection. In this study, eight factors were identified and explored to determine whether one or more of the factors affected undergraduate students' choice to use e-books. A quantitative research design using a convenience sampling method and chi-square analyses was employed in the study. The population of interest was undergraduate students attending Southwest Baptist University, a small, traditional, liberal arts institution. A survey was administered to students attending a university-wide chapel service. Four research questions were developed to explore whether a relationship existed between students' use of e-books and using e-books for leisure reading, using e-books as a textbook, using e-books to conduct research, using e-books to read an assigned reading outside of class, using e-books to read an assigned reading out loud in-class, using e-books as the format of choice, using e-books due to forced adoption, or using e-books due to convenience. Leisure reading, conducting research, forced adoption, and convenience were factors positively related to students' choice to use an e-book. In-class reading was negatively related with students' use of e-books. Textbook use and reading assigned readings were not related with students' choice to use an e-book. When both the printed book and e-book were available, students' choice was positively related with the printed book and negatively related with the e-book. When the e-book was the only format available, students' choice was positively related with the use of the e-book. Finally, students' use of e-books was positively related with convenience.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
Parent involvement in elementary school libraries,D/T,2012,"Copeland, Michele Rzewski",Ph.D.,Shenandoah University,,,,,,,,,,,,,United States,,,observations,semi structured interviews,,http://search.proquest.com/docview/1354472965/abstract/DB8412A786C2416APQ/105?accountid=14474,"In the 21st century, school libraries are under pressure to innovate. Library budgets are frequently slashed as districts struggle with limited fiscal resources, while library personnel are increasingly expected to provide students with resources they need to help them pass high stakes tests. In an effort to meet student needs with limited resources, many school librarians are using parent volunteers in different capacities. This dissertation explores how three school librarians in different school settings recruited, trained, and used their parent volunteers through the use of an exploratory case study. The researcher conducted observations and semi structured interviews to gain the perspectives of volunteers and librarians regarding the use of volunteers in school libraries. The collection of schedules, photographs, newsletters, and other artifacts enabled the researcher to create a description of three different library volunteer programs. This dissertation explores the motivations of volunteers who participate in volunteer programs, and describes the challenges of operating and maintaining library volunteer programs. Key findings emerged regarding the wishes of parent volunteers to develop authentic partnerships with school staff to engage students in meaningful student learning. Stakeholders interested in establishing or modifying their own volunteer programs could use this data to inform them as they structure school library volunteer programs.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Perceptions of personnel at selected Texas community colleges regarding the impact of technology on their libraries,D/T,2012,Sharon K. Kenan,Graduate student,The University of Nebraska,,,,,,,,,,,,,United States,,,semi-structured one-on-one interviews,non-participant observations,review of public documents,http://search.proquest.com/docview/1012121200/abstract?accountid=14474,"Technological innovations have transformed all areas of community college libraries. Automated library systems, office software, and Internet access have altered work processes for library personnel and have changed research methodologies for students and faculty. The purpose of this bounded multiple case study was to explore how the adoption of technology has changed important areas of four community college libraries in Texas. Using purposeful sampling to select community colleges with high technology libraries, the study explored how the adoption of technology by the case college libraries changed the libraries and the roles of people employed within the libraries by examining the impact of the adoption of technology on the following areas of the libraries: (a) physical structure; (b) organizational structure; (c) services; (d) ability to help meet the institution's educational mission; (e) capital and operational budgets; (f) personnel; (g) allocation of human resources; and (h) collections.",Community college education,,,,,,,,,,,,,,,,,,,,,,,,
The current state of scholoarly editions,D/T,2012,"Sondheim, Daniel",Graduate student,University of Alberta,,,,,,,,,,,,,canada,,,,,,http://search.proquest.com/docview/1220946780/abstract/8077FCA36E5945D4PQ/14?accountid=14474,"This thesis examines and compares printed and digital scholarly editions from three separate but complementary perspectives. The overarching aim is to increase the understanding of the relative merits of printed and digital scholarly editions. The perspectives employed include a theoretical one, in which scholarly editions are situated within the context of media theory; a comparative one, in which particular printed and digital editions are compared with each other; and another comparative one, in which particular digital editions are compared with each other.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
The Information Use Behaviors of Graduate Students in an Online Learning Community,D/T,2012,"Cooke, Nicole Amy",Ph.D.,Rutgers The State University of New Jersey - New Brunswick,,,,,,,,,,,,,United States,,,,,,http://search.proquest.com/docview/1284158035/abstract/8077FCA36E5945D4PQ/12?accountid=14474,"As online education expands, research should identify how students interact and learn online. Because of the technological, proximal and asynchronous uniqueness of online education, learners face challenges not native to face-to-face education. As such, online students may seek alternate relationships and methods of interacting, forming their own ""Small Worlds."" Online students have their own ""view of social reality, and ways in which they satisfy their intellectual, social, and physical needs"" (Chatman, 1991, p. 438). Small Worlds allow people ""to share a similar cultural and intellectual space"" (Huotari & Chatman, 2001, p. 352), and members ""share a repertoire of resources and sensibilities communally developed over time"" (Wenger, 1998, p. 2). Chatman""s theory of Small Worlds is a spatial and social lens through which to examine information behavior; in this instance the online learning environment is a virtual space that fosters and shapes the information behaviors of its participants.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
Why Does It Take So Long? Implementing Electronic Records Programs at Universities,D/T,2012,"Fiebelkorn, Guillermo Eduardo",Graduate student,University of Manitoba,,,,,,,,,,,,,canada,,,Records Management,,,http://search.proquest.com/docview/1314798816/abstract/72EEB4A8391041E6PQ/8?accountid=14474,"The implementation of electronic records management is a challenging task due to the resources it requires and most importantly because it requires a substantial change in the methodology to be used for electronic rather than analog records. Universities in North America have struggled with electronic records management for the last two decades because most records practitioners have neglected this methodology paradigm shift created by the arrival of electronic records. Given the great significance of universities in their societies, it is important that they manage electronic records effectively. It seems a bit odd that universities have not developed adequate responses to the challenge of managing electronic records since many are heavily funded by governments and must comply with multiple regulations that obligate them to manage their records well. Moreover, universities have been the source of much academic research into digital records issues and have access to this expertise, and familiarity with the issues. They also have a long tradition of archival programs for analog records.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
A structural contingency theory model of library and technology partnerships within an academic library information commons,D/T,2011,"Tuai, Cameron K.",Ph.D.,Indiana University,,,,,,,,,,,,,United States,,,structural contingency theory,,,http://search.proquest.com/docview/915016874/abstract/CE6D2FB695A944AFPQ/17?accountid=14474,"The integration of librarians and technologists to deliver information services represents a new and potentially costly organizational challenge for many library administrators. To understand better how to control the costs of integration, the research presented here will use structural contingency theory to study the coordination of librarians and technologists within the information commons (IC), a unit of the academic library. Contingency theory seeks to optimize the organizational structures necessary for coordinating partner workflows; it suggests that coordinative structures should be congruent with workflow interdependence. In other words, as workflow interdependence increases, the complexity of coordination necessary to integrate the workflows should also increase. To examine this theory, the work presented here will: (a) test for a positive relationship between coordination and interdependence; (b) test for correlation between perceptions of IC performance and interdependence and coordination congruency; and (c) explore the contingency theory expectation that behavioral differentiation positively affects coordination.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
An open door: Exploring how high school students with special needs view and use the high school library,D/T,2011,"Case, Betty Marie Chase",Ph.D.,Fielding Graduate University,,,,,,,,,,,,,United States,,,survey,interview,,http://search.proquest.com/docview/873246748/abstract/DB8412A786C2416APQ/50?accountid=14474,"This study explores how high school students with special needs view and use the high school library. Two factors triggered this study: The first was the importance of school libraries in raising student test scores, as shown in the studies by Keith Lance and his colleagues. The second was the reluctance of some of my students with special needs to utilize their school library.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Online embedded librarian case study: A descriptive evaluation,D/T,2011,"Edwards, Mary",Graduate student,University of Florida,,,,,,,,,,,,,United States,,,questionnaires,narrative reflections,instructor interview,http://search.proquest.com/docview/1018710668/8077FCA36E5945D4PQ/16?accountid=14474,"The increase in online programs has been accompanied by the need for library instruction and support for online students. Students enrolled in off-campus and/or online programs have to be able to successfully access and use digital library resources to complete course requirements. Using and evaluating resources is an element of information literacy, a key component in critical thinking and lifelong learning, which is addressed by accrediting agencies. An embedded librarian project in an online graduate educational technology course demonstrated the feasibility of an embedded librarian for online graduate courses at the University of Florida, resulting in benefits for students and a pilot for this OnMed Embedded Librarian case study.",educational technology,,,,,,,,,,,,,,,,,,,,,,,,
Perceptions of School Library Media Specialists Regarding their Practice of Instructional Leadership,D/T,2011,"Martin, Virginia D.",Ph.D.,Walden University,,,,,,,,,,,,,United States,,,quantitative study,paired sample t test,,http://search.proquest.com/docview/847947652/abstract/DB8412A786C2416APQ/63?accountid=14474,"School library media specialists (SLMSs) often struggle with assuming leadership roles. Discrepancies existed in perceptions of SLMSs of their leadership preparedness, their opportunities to exert leadership, and their assumption of leadership roles. The purpose of this quantitative study was to explore the perceptions of SLMSs toward the role of instructional leadership and to examine the extent to which they practiced instructional leadership. The study was designed to determine if there were differences between SLMSs perceptions of the importance of their leadership roles and their opportunities to practice those roles. The conceptual framework of the study was constructivist leadership principles and theory. A nonexperimental survey research strategy was used to explore SLMSs perceptions concerning the importance and practice of their leadership roles. A paired sample t test was used to examine the possible differences between importance and practice. The results of the study indicated that SLMSs perceived all of the leadership roles to be more important than they were able to carry out in practice and that supportive administrators were the most essential factor in providing SLMSs the opportunity to practice and expand their roles as instructional leaders. Implications for social change include enhancing SLM instructional leadership roles in their local settings, which can thereby impact local literacy improvements.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Principals' Perceptions of Methods of Receiving Professional Communications,D/T,2011,"Grap, Sheila Irene Holderby",Ph.D.,College of Notre Dame of Maryland,,,,,,,,,,,,,United States,,,,,,http://search.proquest.com/docview/922578206/abstract/DB8412A786C2416APQ/121?accountid=14474,The purpose of this study was to identify what principals perceive to be the most and the least effective methods of communicating professional information and their preferred methods of receiving information. The researcher also sought to discover the factors principals indentified as preventing them from receiving information and using the communication methods they prefer and the factors that enable them to receive information using the methods they prefer.,Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Responses of listener-viewers in digital storytelling: Collaborations in the intermediate classroom and the middle school library,D/T,2011,"Morris, Rebecca J.",Ph.D.,University of Pittsburgh,,,,,,,,,,,,,United States,,,participant-observation,,,http://search.proquest.com/docview/908423953/abstract/DB8412A786C2416APQ/49?accountid=14474,"Storytelling in its traditional form, with active participation by tellers and listeners, is a valuable model for contemporary library and classroom experiences. Digital storytelling expands opportunities for storytelling in libraries, and reflects a continuity of innovative library services for children and students. For this study, ""digital storytelling"" is defined as a short, multimedia presentation of a story, created by students, under the guidance of school librarians or teachers. Because much of the literature and practice of digital storytelling emphasizes the creator, or teller, this research examines the response of the ""listener-viewers"" to explore and support in a digital environment the interactions afforded to audiences of traditional, live storytelling. This research study is a mixed methods investigation centered upon participant-observation of digital storytelling in intermediate classroom and middle school librarysettings. The research findings show six prominent themes representing how students respond to and engage in digital storytelling, presented in the study in a conceptual model. The themes are Engagement, Action, Emotions, Learning, Similar Experiences, and Next Steps. Key components of digital storytelling as a classroom and school library activity are the ""self"" as a viewer of digital storytelling, formative and summative viewing practices, and how classroom teachers and school librarians teach and facilitate digital storytelling, including integration of technology and information literacies and collaboration.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Room to Read: Tracking the Evolution of a New Secondary School Library,D/T,2011,"Goodin, Marjorie Cummings",Ph.D.,"University of California, Berkeley",,,,,,,,,,,,,United States,,,examination of the impact of the library as intervention,,,http://search.proquest.com/docview/928451788/abstract/904E0C363BCA4C58PQ/27?accountid=14474,"The purpose of this study was to examine and describe the evolution of a new school library, one that was a site for learning and practicing literacy in collaborative ways. By tracking the construction of school library resources and programs at a secondary school where no library existed, I was able to explore the processes and elements of library formation as it impacts the literacy environment. My hunch was that by improving the available resources in a distributed library , the opportunities for access and choice, and by developing the library dispositions of the students there might be observable changes in students' reading attitudes, engagement and achievement at the school. These library dispositions include developing habits of mind and attitudes that guide student thinking and intellectual behaviors, and that may be measured through actions taken to access library resources and to read independently.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
School librarians as technology integration leaders: Enablers and barriers to leadership enactment,D/T,2011,"Johnston, Melissa P.",Ph.D.,The Florida State University,,,,,,,,,,,,,United States,,,survey,,,http://search.proquest.com/docview/902625595/abstract/DB8412A786C2416APQ/88?accountid=14474,"The highly technological environment of 21st century schools has significantly redefined the role of school librarians by presenting the opportunity to assume leadership through technology integration. School librarians are continually directed to evolve as leaders in order to address the needs of today's learners and ensure that they are equipped with the knowledge and skills they need to succeed in the 21st century. Despite the abundance of literature that has suggested the need for and the importance of school librarians to be a proactive leaders in technology integration, this role is one that has been ignored in the research arena and left undefined for school administrators, teachers, and the school librarians themselves, leading to uncertainty concerning how school librarians enact this role in practice.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Teaching the voices of history through primary sources and historical fiction: A case study of teacher and librarian roles,D/T,2011,"Stripling, Barbara Kay",D.P.S.,Syracuse University,,,,,,,,,,,,,United States,,,observations,interviews,samples of student work,http://search.proquest.com/docview/869500398/abstract/DB8412A786C2416APQ/107?accountid=14474,"The ability to analyze alternative points of view and to empathize (understand the beliefs, attitudes and actions of another from the other's perspective rather than from one's own) are essential building blocks for learning in the 21st century. Empathy for the human participants of historical times has been deemed by a number of educators as important for the development of historical understanding. The classroom teacher and the school librarian both have a prominent stake in creating educational experiences that foster the development of perspective, empathy, and understanding.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
The variations and the changes in the school librarians' perspectives of information literacy,D/T,2011,"Salha, S",Ph.D.,University of Sheffield,,,,,,,,,,,,,United Kingdom,,,phenomenographic approach,,,http://search.proquest.com/docview/1708214383/DB8412A786C2416APQ/106?accountid=14474,"Information literacy was the investigated subject of this PhD research which aimed to study the variations and changes in Syrian school librarians conceptions of information literacy. The main target group was a twenty Syrian school librarians working in high schools in Damascus and its Suburb, ten of them graduated librarians and the rest are classroom teachers who were transferred to the library to perform the duties of the school librarian. The targeted group was purposely selected with intention as broadest as possible samples from different educational, social and ethical backgrounds. The researcher adopted a phenomenographic approach to discover how the Syrian school librarians conceive the phenomenon of information literacy and how their conceptions changed after attending an information literacy programme designed by the researcher. The research was in three phases: the first phase aimed to discover and study the school librarians&acirc;&trade; conceptions of information literacy by conducting a pure phenomenographic approach. Six different conceptions of information literacy were emerged as a result to first phase analysis. The second phase aimed to provide the school librarians with a wide range of perspectives, conceptions and thoughts of information literacy discussed worldwide via an information training programme designed especially to serve that purpose. The training programme was designed by the researcher who consulted a broad literature and methods in attempts to integrate different ideas from different territories. For example, she employed business methods such as Eat the Elephant strategy and SWOT analysis, training methods such as icebreaking and team working, Soft System method such as rich picture and mind map, educational methods such as integrating different teaching styles to meet different learning needs style and communication method such as body language and presentations. The third phase aimed to discover the variations and changes in school librarians&acirc;&trade; conceptions of information literacy by conducting a new phenomenographic approach. The third phase was conducted six months after the second phase to give the participants chance to discover the concept of information literacy in real world practice. Seven different conceptions were emerged as a result to analysing second phase interviews. The findings of the research indicate that the school librarians&acirc;&trade; conceptions of information literacy at the first phase were influenced by their context (school library) and experiences as school librarians, though, further studies are vital. In the third phase the school librarians evidenced more complex and boarder conceptions. Further they were able to combine and create different conceptions to meet their schools&acirc;&trade; needs. It is interesting to mention that school librarians were not only able to create new conceptions of information literacy that meet their needs, but they were also able to in the Arabic literature.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Understanding teacher users of a digital library service: A clustering approach,D/T,2011,"Xu, Beijie",Ph.D.,Utah State University,,,,,,,,,,,,,United States,,,statistical model,,,http://search.proquest.com/docview/862643655/abstract/CE6D2FB695A944AFPQ/18?accountid=14474,"This research examined teachers' online behaviors while using a digital library service--the Instructional Architect (IA)--through three consecutive studies. In the first two studies, a statistical model called latent class analysis (LCA) was applied to cluster different groups of IA teachers according to their diverse online behaviors. The third study further examined relationships between teachers' demographic characteristics and their usage patterns. Several user clusters emerged from the LCA results of Study I. These clusters were named isolated islanders, lukewarm teachers, goal-oriented brokers, window shoppers, key brokers, beneficiaries, classroom practitioners,and dedicated sticky users . In Study II, a cleaning process was applied to the clusters discovered in Study I to further refine distinct user groups. Results revealed three clusters, key brokers, insular classroom practitioners,and ineffective islanders . In Study III, the integration of teacher demographic profiles with clustering results revealed that teaching experience and technology knowledge affected teachers' effectiveness in using the IA. The implication, contributions, and limitation of this research are discussed.",Library science,,,,,,,,,,,,,,,,,,,,,,,,
Factors that Influence Users to Keep and Leave Information Items: A Case Study of College Students' Personal Information Management Behavior,D/T,2010,"Finneran, Christina M.",Ph.D.,Syracuse University,,,,,,,,,,,,,United States,,,interviews,students' physical artifacts,"direct observation, and course documents",http://search.proquest.com/docview/874383373/abstract/CE6D2FB695A944AFPQ/24?accountid=14474,"This dissertation research investigates personal information management (PIM), specifically keeping and leaving behavior, in the context of information being accessible 24/7 from the Web and users being constantly connected via wireless devices.",information science,,,,,,,,,,,,,,,,,,,,,,,,
